application_id,applicant_age,annual_income_inr,loan_amount_inr,loan_term_months,credit_score,existing_emis_inr,employment_years,missed_payments_12m,credit_utilization_pct,savings_balance_inr,property_owner,employment_type,loan_purpose,residence_type,education_level,dependents,previous_loans,channel,default_next_12m
01000228,21,1543899,762934,45,651,30308,16,3,32,1198591,No,Contract,Vehicle,Owned,Graduate,5,8,Agent,0
01000229,65,2541984,2944185,71,576,53685,2,2,8,526514,No,Salaried,Vehicle,Owned,Postgraduate,5,3,Branch,1
01000230,51,1718326,1537438,43,644,16485,6,0,86,760140,Yes,Self-employed,Personal,Family,Graduate,2,1,Agent,0
01000231,24,475826,2972885,9,816,64782,6,3,82,688433,Yes,Contract,Education,Rented,School,3,7,Online,1
01000232,43,2272046,586637,27,721,48335,23,1,80,809577,No,Salaried,Vehicle,Owned,Postgraduate,2,1,Online,0
01000233,26,1580028,3376882,37,528,28003,10,6,89,266076,Yes,Contract,Education,Family,School,4,3,Agent,1
01000234,41,2534253,813159,67,574,69917,23,3,92,276201,No,Contract,Home improvement,Family,School,3,8,Branch,1
01000235,25,414011,1373820,13,590,7326,15,0,9,923382,Yes,Self-employed,Education,Rented,Graduate,0,7,Agent,1
01000236,34,250507,3485931,19,644,61865,0,3,45,215423,No,Salaried,Personal,Owned,School,0,10,Online,0
01000237,29,2759536,3316408,62,726,67360,2,1,93,28732,Yes,Salaried,Home improvement,Rented,School,0,8,Branch,1
01000238,32,796395,125010,81,711,28351,4,2,58,1046013,Yes,Contract,Education,Owned,Postgraduate,3,1,Branch,1
01000239,62,475331,2351016,47,808,20630,0,4,89,681236,Yes,Salaried,Education,Rented,Graduate,5,1,Agent,0
01000240,37,2148674,3446679,75,725,32250,1,7,75,438281,Yes,Self-employed,Education,Owned,Graduate,5,10,Agent,0
01000241,24,1600678,463847,52,543,50928,23,3,23,921334,Yes,Contract,Home improvement,Family,Postgraduate,5,0,Online,1
01000242,42,1221072,2425403,72,649,33215,21,3,75,971440,No,Contract,Vehicle,Family,Graduate,5,2,Branch,1
01000243,33,1147730,1899201,79,500,36259,14,3,70,188087,Yes,Salaried,Vehicle,Family,Postgraduate,0,10,Agent,0
01000244,55,2795146,3159258,80,628,33004,15,3,25,672895,No,Self-employed,Education,Rented,Graduate,0,9,Online,0
01000245,31,707335,126290,1,560,38954,25,0,40,1162795,No,Contract,Home improvement,Owned,School,2,10,Online,0
01000246,31,1950199,1371871,58,676,68784,21,2,27,658910,Yes,Salaried,Vehicle,Owned,School,3,8,Agent,0
01000247,30,2730991,3034149,71,733,34536,15,6,11,746212,Yes,Salaried,Personal,Owned,School,1,5,Online,1
01000248,53,1101193,308474,16,838,73840,19,7,94,551431,Yes,Salaried,Education,Family,Graduate,5,0,Online,0
01000249,46,2274992,925822,61,827,10835,7,2,31,479825,No,Contract,Education,Owned,School,3,8,Online,0
01000250,53,2443167,1514761,39,493,21013,11,3,90,983364,Yes,Contract,Personal,Family,Graduate,2,6,Branch,0
01000251,48,2606637,2477030,47,640,64224,6,0,26,560628,Yes,Salaried,Vehicle,Owned,School,2,1,Agent,0
01000252,36,469545,3432740,36,623,23608,10,3,4,271274,No,Salaried,Home improvement,Family,Graduate,1,8,Online,0
01000253,34,2557253,1039045,56,718,40048,13,7,29,198064,No,Self-employed,Education,Rented,School,4,4,Branch,1
01000254,31,2388718,284895,42,810,40708,5,2,63,1081702,No,Salaried,Vehicle,Owned,Postgraduate,2,5,Agent,0
01000255,60,1515886,2637806,9,634,53206,9,4,81,1087876,Yes,Contract,Home improvement,Owned,Graduate,3,6,Agent,0
01000256,67,2795428,636898,62,680,70355,23,4,80,544994,No,Self-employed,Education,Family,Graduate,5,9,Online,1
01000257,35,2342161,528434,74,566,54436,20,1,59,559028,No,Salaried,Vehicle,Rented,Graduate,0,9,Branch,0
01000258,31,1932568,292476,66,800,36410,24,4,37,996268,No,Self-employed,Personal,Family,Graduate,5,0,Online,1
01000259,43,1711870,2716151,66,598,4609,4,1,33,81489,Yes,Contract,Education,Rented,Graduate,1,9,Agent,0
01000260,63,2630269,2924921,83,750,36086,5,3,42,604854,No,Self-employed,Vehicle,Family,Graduate,4,0,Online,0
01000261,42,577023,1613655,71,834,48246,22,6,24,1015670,Yes,Salaried,Vehicle,Family,Graduate,5,7,Agent,0
01000262,54,296173,2526692,83,712,73541,25,5,78,1146100,Yes,Salaried,Home improvement,Family,Graduate,5,2,Agent,1
01000263,63,2473971,3279165,26,510,36615,18,6,85,7912,Yes,Contract,Education,Owned,Graduate,5,8,Online,0
01000264,26,302562,916134,51,632,58110,4,0,56,397903,Yes,Self-employed,Personal,Rented,Postgraduate,3,4,Online,1
01000265,42,2807689,1615427,30,787,40793,23,6,49,716088,No,Self-employed,Personal,Family,Postgraduate,4,2,Online,1
01000266,32,1973621,2271802,21,815,41351,21,3,9,132360,No,Contract,Home improvement,Rented,School,2,2,Branch,1
01000267,31,2561423,344176,52,648,27631,18,2,52,115059,Yes,Contract,Vehicle,Rented,School,4,9,Branch,0
01000268,53,2135020,2464695,68,827,66938,11,4,48,1087680,No,Self-employed,Vehicle,Owned,Postgraduate,2,10,Branch,1
01000269,58,2568933,2959104,43,727,27804,12,0,33,1081464,No,Salaried,Education,Rented,School,0,4,Branch,0
01000270,52,1245424,1326023,57,533,49224,18,2,25,306782,No,Self-employed,Home improvement,Rented,Postgraduate,1,0,Online,0
01000271,36,1866728,2558301,34,575,26957,17,2,80,685121,No,Salaried,Vehicle,Family,Postgraduate,3,0,Online,0
01000272,36,812623,1579032,17,591,71176,14,1,70,200133,Yes,Salaried,Personal,Family,Graduate,1,6,Online,0
01000273,38,2719429,1445990,34,519,7950,24,4,84,719724,Yes,Salaried,Personal,Owned,Postgraduate,3,0,Online,1
01000274,52,1430003,770906,19,798,10577,17,3,14,7757,Yes,Salaried,Education,Owned,Graduate,5,0,Branch,0
01000275,41,2737777,510570,40,816,16021,12,0,72,167041,Yes,Salaried,Vehicle,Rented,Graduate,0,2,Online,0
01000276,40,1651519,1711666,72,748,71959,13,6,26,629406,No,Salaried,Personal,Rented,Graduate,3,3,Branch,1
01000277,32,2328357,2652145,11,569,17330,11,1,74,949547,Yes,Contract,Vehicle,Family,School,2,8,Branch,0
01000278,67,265755,1179345,29,576,21037,11,3,73,191796,No,Contract,Home improvement,Rented,Postgraduate,0,10,Agent,0
01000279,33,2828742,2530007,60,497,27203,13,3,83,151590,Yes,Contract,Home improvement,Owned,School,5,5,Online,0
01000280,51,1412669,2387154,58,508,67222,2,5,60,306281,Yes,Contract,Vehicle,Rented,Postgraduate,0,0,Branch,0
01000281,50,1201281,3128503,26,811,29806,25,7,61,589140,No,Salaried,Education,Rented,Postgraduate,0,8,Branch,1
01000282,61,1390876,2616863,61,849,6418,8,0,26,1112941,Yes,Contract,Vehicle,Rented,Postgraduate,0,10,Online,1
01000283,68,2085544,2456642,33,643,45114,1,7,9,8740,No,Self-employed,Home improvement,Family,Postgraduate,1,6,Online,0
01000284,35,656891,863051,74,643,41053,22,5,81,325449,Yes,Self-employed,Education,Family,School,2,7,Online,1
01000285,27,2762157,2155173,68,604,41062,23,3,92,821023,No,Self-employed,Personal,Owned,Graduate,5,3,Online,1
01000286,69,1370246,1573226,6,578,41865,22,4,42,1136887,No,Salaried,Vehicle,Owned,School,5,5,Branch,1
01000287,33,334430,130234,38,501,59294,7,1,40,224598,No,Self-employed,Education,Owned,School,1,4,Online,0
01000288,47,1862020,1338316,66,774,65824,5,7,53,583321,Yes,Contract,Vehicle,Rented,Graduate,2,6,Online,1
01000289,26,937396,2561577,37,652,64896,14,4,62,1122787,No,Self-employed,Home improvement,Owned,Postgraduate,1,8,Online,1
01000290,24,2191561,146928,3,516,5756,22,6,9,207454,Yes,Salaried,Education,Owned,Postgraduate,1,2,Agent,1
01000291,63,1894845,1676938,34,822,16473,24,2,40,192980,No,Salaried,Personal,Family,Graduate,1,4,Branch,0
01000292,32,1885335,1401620,75,624,10030,2,2,27,871903,No,Self-employed,Home improvement,Rented,School,1,6,Online,0
01000293,46,2021060,2716307,56,504,2216,19,7,87,605504,Yes,Self-employed,Vehicle,Family,School,1,8,Branch,1
01000294,40,2646113,640048,83,845,4612,4,2,94,1111857,No,Self-employed,Education,Family,Postgraduate,3,7,Branch,1
01000295,69,382853,1312317,69,662,28270,2,5,26,446154,No,Contract,Education,Rented,Graduate,5,4,Agent,0
01000296,59,718652,2504448,51,676,36899,14,2,61,336173,Yes,Salaried,Personal,Family,School,3,6,Branch,0
01000297,44,1806900,1224495,29,840,25749,7,5,86,899141,No,Self-employed,Education,Rented,Postgraduate,5,9,Agent,0
01000298,28,617674,1202411,79,626,65727,19,6,48,627913,No,Salaried,Vehicle,Rented,Graduate,1,7,Online,1
01000299,68,600443,2495537,74,777,41731,20,2,52,539518,Yes,Self-employed,Personal,Rented,Postgraduate,1,8,Branch,1
01000300,42,2477054,2799113,27,567,40927,13,2,23,159179,Yes,Contract,Home improvement,Owned,Graduate,2,9,Agent,1
01000301,59,2752872,3113726,39,815,30371,6,0,92,55497,Yes,Contract,Personal,Owned,School,2,3,Agent,1
01000302,33,1376043,2100039,71,658,57144,2,0,35,785608,Yes,Self-employed,Vehicle,Rented,School,2,4,Online,1
01000303,43,905257,3415961,53,691,8577,3,0,38,532178,No,Salaried,Personal,Family,School,5,9,Branch,0
01000304,45,941492,1618593,19,585,26630,1,1,32,726334,Yes,Self-employed,Home improvement,Rented,Postgraduate,4,6,Branch,0
01000305,54,2162675,2177451,18,665,3666,21,0,44,149096,Yes,Salaried,Education,Rented,School,1,9,Branch,0
01000306,56,668413,234506,26,640,57166,23,6,56,419019,No,Self-employed,Personal,Rented,Graduate,2,6,Branch,1
01000307,27,2024941,1797971,25,549,3233,1,1,62,1118221,Yes,Salaried,Education,Rented,School,1,6,Agent,0
01000308,36,733548,3498322,82,604,68028,4,1,7,1138449,Yes,Contract,Vehicle,Rented,School,0,3,Branch,1
01000309,50,1255930,307433,55,629,65212,9,7,50,850866,Yes,Contract,Vehicle,Rented,Graduate,1,3,Agent,1
01000310,57,1993825,1068033,77,481,7547,6,4,14,105816,No,Contract,Education,Family,Graduate,5,2,Online,0
01000311,27,559343,1903050,77,606,62973,0,5,19,206823,Yes,Contract,Education,Family,School,4,9,Branch,1
01000312,57,2532446,2972729,45,502,15101,7,1,9,38199,No,Self-employed,Vehicle,Owned,Graduate,0,1,Online,1
01000313,61,2780744,1222656,23,569,59185,13,2,27,244284,No,Salaried,Personal,Owned,School,5,7,Online,0
01000314,22,2428178,3460871,83,736,50774,1,5,10,1175290,Yes,Self-employed,Home improvement,Rented,Graduate,3,8,Online,0
01000315,51,331872,3179226,19,551,35724,1,3,82,431434,No,Salaried,Education,Owned,Postgraduate,1,4,Branch,0
01000316,48,1809790,817609,78,738,21055,1,2,66,321443,No,Salaried,Personal,Owned,Graduate,1,4,Agent,1
01000317,56,727777,2441087,64,584,33187,7,3,62,230830,Yes,Salaried,Personal,Owned,School,4,4,Branch,0
01000318,60,1685582,2704187,17,594,60901,12,7,11,1196990,Yes,Self-employed,Vehicle,Rented,School,3,7,Branch,1
01000319,57,1558456,857101,16,755,37333,10,3,31,20020,Yes,Contract,Education,Family,Graduate,2,3,Agent,1
01000320,24,1383334,840043,40,604,56160,17,2,86,736218,No,Salaried,Personal,Family,Graduate,4,8,Online,0
01000321,43,519626,118829,3,529,41876,7,0,75,549056,Yes,Contract,Home improvement,Family,Postgraduate,1,6,Agent,0
01000322,63,1907813,2919519,24,553,64637,10,0,87,202371,Yes,Contract,Vehicle,Family,Postgraduate,2,5,Agent,0
01000323,58,894148,596810,5,822,57866,22,2,18,622322,Yes,Contract,Personal,Owned,School,0,3,Online,1
01000324,33,2353112,486053,9,826,62230,19,1,21,655106,No,Self-employed,Education,Family,School,2,3,Online,1
01000325,53,402332,498966,4,835,68196,0,6,94,272872,No,Salaried,Education,Rented,Postgraduate,1,1,Agent,0
01000326,45,2839629,1147302,62,677,34101,11,7,63,681310,No,Self-employed,Personal,Family,Graduate,4,8,Agent,0
01000327,50,2423160,1651300,18,546,44495,0,2,31,281271,No,Self-employed,Home improvement,Family,Postgraduate,3,6,Online,0
01000328,55,969812,1523477,23,605,54939,4,0,5,695658,No,Salaried,Personal,Rented,School,5,8,Agent,0
01000329,59,2333656,2204907,44,804,6119,4,5,26,1062281,Yes,Self-employed,Personal,Owned,Postgraduate,0,7,Agent,0
01000330,25,498406,1118691,46,738,57170,25,6,92,1305,Yes,Salaried,Personal,Owned,Postgraduate,3,0,Online,1
01000331,26,1292768,2724498,27,557,54301,10,7,32,757885,Yes,Salaried,Home improvement,Owned,Postgraduate,1,10,Branch,1
01000332,38,1118332,1654742,9,486,37584,6,3,44,70916,Yes,Self-employed,Vehicle,Rented,Graduate,3,10,Online,1
01000333,30,808906,2474011,21,801,61695,1,6,46,761662,Yes,Contract,Personal,Family,Graduate,0,6,Online,1
01000334,33,2496457,875587,20,530,15820,2,4,14,156427,No,Self-employed,Vehicle,Family,School,2,5,Branch,0
01000335,36,1742000,807983,21,502,19013,18,6,20,1197980,No,Salaried,Home improvement,Owned,Postgraduate,0,7,Agent,0
01000336,46,2972110,3278598,76,728,39966,13,2,6,1066338,Yes,Contract,Personal,Family,School,1,5,Branch,1
01000337,52,2647224,1831808,72,793,70553,10,4,84,180833,Yes,Salaried,Home improvement,Owned,Postgraduate,5,8,Agent,0
01000338,37,1881938,3056561,9,741,41128,11,7,89,993349,No,Self-employed,Home improvement,Family,Postgraduate,1,7,Agent,0
01000339,58,2567146,1580319,26,666,59024,3,4,61,1184499,Yes,Self-employed,Personal,Owned,Graduate,4,6,Branch,1
01000340,58,1611394,918637,79,557,71960,1,7,4,840543,Yes,Self-employed,Home improvement,Rented,Graduate,2,1,Online,0
01000341,69,2554379,3255287,38,841,14621,23,5,10,111409,Yes,Self-employed,Vehicle,Owned,School,0,5,Online,1
01000342,56,1672947,159084,76,667,21303,0,1,81,603278,No,Self-employed,Personal,Rented,School,4,3,Branch,1
01000343,48,410595,1464312,24,648,51499,23,1,43,1023468,Yes,Contract,Home improvement,Owned,Postgraduate,5,0,Online,0
01000344,46,1762929,169193,72,650,1423,10,0,19,380733,Yes,Self-employed,Home improvement,Rented,Postgraduate,3,5,Agent,0
01000345,37,2901913,1643478,60,665,52291,25,0,85,817363,No,Self-employed,Home improvement,Rented,Postgraduate,5,5,Branch,0
01000346,69,2518164,2623657,77,564,45567,24,3,49,1138773,Yes,Salaried,Personal,Owned,Graduate,2,6,Agent,0
01000347,34,1371338,2719005,32,559,35042,9,0,5,703673,No,Contract,Home improvement,Rented,Postgraduate,5,3,Agent,0
01000348,23,1285319,1333344,1,669,40312,9,0,69,870570,Yes,Self-employed,Home improvement,Rented,School,2,8,Branch,1
01000349,22,921263,478765,66,480,63048,22,4,57,839737,Yes,Self-employed,Personal,Rented,School,0,2,Online,1
01000350,40,971014,3304657,9,847,50687,12,5,51,377788,Yes,Contract,Education,Owned,School,2,4,Online,1
01000351,46,2570065,2899734,27,594,3755,0,7,79,45724,No,Contract,Home improvement,Family,Postgraduate,0,4,Online,0
01000352,53,1810466,368404,9,699,61096,11,1,13,558907,No,Contract,Home improvement,Owned,Graduate,3,6,Branch,0
01000353,35,786818,2267148,40,733,51603,25,5,76,613597,Yes,Self-employed,Personal,Rented,Graduate,4,1,Branch,1
01000354,45,1843733,1697756,33,569,30586,5,0,11,1135185,Yes,Self-employed,Home improvement,Owned,Graduate,2,10,Online,0
01000355,31,2929813,2763438,62,591,28015,16,5,24,423828,No,Contract,Vehicle,Rented,Postgraduate,1,6,Branch,1
01000356,36,1440486,170523,42,799,68758,11,4,95,966377,Yes,Self-employed,Vehicle,Family,Graduate,1,3,Agent,1
01000357,45,2888273,2063389,2,632,73137,2,0,21,274663,No,Salaried,Home improvement,Family,Graduate,2,0,Online,0
01000358,28,1742701,3221417,1,487,44410,25,0,16,769743,Yes,Contract,Personal,Owned,Postgraduate,3,3,Agent,0
01000359,42,2017167,1998652,8,742,72435,15,4,13,1058918,No,Salaried,Personal,Family,School,0,1,Agent,0
01000360,32,1530632,2995729,21,624,11867,25,4,6,618182,Yes,Contract,Vehicle,Rented,Graduate,4,1,Online,1
01000361,52,1739781,2343476,24,505,78,13,3,34,832941,Yes,Salaried,Personal,Rented,School,1,3,Agent,1
01000362,59,1325652,2371503,67,499,70702,0,0,5,826880,No,Contract,Vehicle,Rented,School,5,0,Agent,0
01000363,36,613587,384696,62,781,51442,20,5,70,277366,Yes,Salaried,Home improvement,Rented,School,4,10,Online,1
01000364,29,822133,994314,70,494,2152,6,2,52,374390,No,Self-employed,Home improvement,Family,School,0,5,Online,0
01000365,27,1065631,382146,56,497,4863,18,4,65,1020482,No,Contract,Vehicle,Owned,School,4,4,Online,1
01000366,38,1932726,779721,3,740,68687,10,0,74,770589,No,Salaried,Vehicle,Owned,Postgraduate,2,6,Agent,1
01000367,29,428582,3241417,43,677,30878,25,7,50,630571,No,Salaried,Personal,Family,Postgraduate,0,3,Agent,1
01000368,47,1193465,2110854,21,545,41113,2,6,18,374231,Yes,Contract,Home improvement,Rented,School,3,8,Agent,1
01000369,39,2418344,1395306,29,566,45036,25,3,83,495655,No,Contract,Home improvement,Owned,Postgraduate,3,3,Agent,0
01000370,21,995077,1759641,50,623,44173,2,3,44,1047376,Yes,Contract,Education,Family,Postgraduate,3,2,Branch,1
01000371,25,1779532,2758320,9,487,73417,24,2,56,128647,No,Self-employed,Home improvement,Owned,Postgraduate,2,7,Branch,1
01000372,39,2825195,1711422,38,580,41425,17,7,89,913396,Yes,Self-employed,Education,Owned,Graduate,4,6,Branch,1
01000373,22,2174455,2175454,36,819,17695,15,2,49,239565,No,Contract,Personal,Family,Postgraduate,0,6,Branch,0
01000374,46,1086100,842924,33,507,14864,9,5,15,964781,No,Self-employed,Education,Family,Postgraduate,3,5,Agent,0
01000375,64,1462652,1568063,63,806,17687,0,4,5,617344,No,Self-employed,Personal,Owned,School,4,0,Branch,1
01000376,30,2581000,1206580,2,787,8539,3,0,66,1001662,No,Contract,Vehicle,Owned,Graduate,1,8,Branch,0
01000377,30,1146530,105374,35,765,8627,13,3,6,165774,Yes,Contract,Vehicle,Rented,Graduate,5,4,Online,1
01000378,46,2299929,1020192,16,740,65552,11,1,45,819213,No,Contract,Personal,Family,Graduate,5,4,Branch,0
01000379,41,928705,599638,32,828,51679,22,7,6,1026135,No,Salaried,Home improvement,Family,Postgraduate,5,6,Agent,0
01000380,31,2043496,1507489,78,838,18868,8,7,30,256948,Yes,Self-employed,Education,Rented,School,1,4,Branch,1
01000381,41,562451,1199414,60,577,58573,14,3,66,574038,No,Self-employed,Home improvement,Owned,Postgraduate,4,8,Online,0
01000382,39,1652514,3309064,55,805,15971,14,1,89,1096271,No,Contract,Personal,Owned,Postgraduate,1,10,Online,1
01000383,53,2633102,678798,18,518,41125,11,0,63,733968,Yes,Salaried,Personal,Owned,Postgraduate,4,7,Branch,0
01000384,61,698918,3158850,61,536,37913,11,4,31,53996,No,Salaried,Education,Family,School,1,4,Online,1
01000385,40,370138,1550955,20,751,13025,3,6,93,312231,No,Contract,Vehicle,Rented,Graduate,2,0,Branch,1
01000386,33,1575697,2394582,46,594,28553,11,4,68,44645,Yes,Salaried,Vehicle,Owned,Graduate,3,4,Online,0
01000387,58,265737,988473,45,651,67969,3,7,65,1076357,Yes,Salaried,Education,Rented,Graduate,3,10,Agent,0
01000388,46,2020704,2098980,40,665,51410,14,7,10,397987,Yes,Contract,Vehicle,Family,Postgraduate,4,10,Branch,1
01000389,28,1759893,1804635,84,791,66624,9,3,62,831533,Yes,Self-employed,Home improvement,Rented,School,1,4,Online,0
01000390,37,680909,2475375,29,608,33358,2,7,39,447464,No,Self-employed,Vehicle,Owned,Graduate,2,1,Branch,1
01000391,51,1527480,2066558,41,630,69230,1,6,33,713875,No,Salaried,Home improvement,Rented,Postgraduate,1,0,Online,0
01000392,45,1928656,1595093,39,696,32146,7,2,60,171202,Yes,Salaried,Education,Rented,Graduate,2,7,Agent,1
01000393,42,2451291,1949140,4,841,45320,4,7,89,387806,Yes,Salaried,Personal,Rented,Graduate,5,8,Branch,1
01000394,57,2903927,1749046,68,822,47267,5,1,84,1080572,No,Salaried,Education,Owned,Postgraduate,3,3,Branch,0
01000395,46,2895070,2276689,82,628,71789,14,2,73,47858,Yes,Contract,Personal,Family,Postgraduate,4,4,Online,0
01000396,38,2538105,781154,68,544,63000,10,5,44,867919,No,Contract,Education,Family,Graduate,3,4,Branch,0
01000397,63,2858251,2501468,11,846,7568,10,7,58,416955,No,Self-employed,Education,Rented,Postgraduate,5,3,Online,1
01000398,40,307034,2490196,54,535,11023,17,3,46,1171867,No,Contract,Home improvement,Family,Postgraduate,5,9,Branch,1
01000399,49,1348719,3383720,30,678,46341,1,7,83,89725,Yes,Contract,Personal,Rented,Graduate,2,2,Online,1
01000400,33,1803783,791506,22,606,8181,5,4,4,357243,No,Self-employed,Home improvement,Family,Graduate,4,3,Online,0
01000401,50,1708869,1789462,58,558,31697,4,5,16,692225,No,Self-employed,Home improvement,Rented,Postgraduate,3,6,Agent,0
01000402,60,2187452,3088625,7,790,50879,17,6,47,352763,No,Self-employed,Vehicle,Family,Graduate,1,5,Agent,0
01000403,23,2396129,538806,26,502,32499,22,5,27,674128,Yes,Contract,Personal,Owned,School,1,5,Online,1
01000404,23,2322344,206247,50,612,32021,14,7,78,635467,Yes,Contract,Education,Family,Graduate,2,5,Agent,1
01000405,22,2986944,1586706,68,640,67293,11,3,27,250213,Yes,Salaried,Vehicle,Owned,Postgraduate,2,7,Online,1
01000406,67,969420,684642,82,651,5156,14,2,50,429793,Yes,Self-employed,Vehicle,Owned,Postgraduate,1,0,Online,0
01000407,28,1236661,1025935,36,631,18573,18,2,86,279683,No,Self-employed,Education,Family,Graduate,4,0,Online,1
01000408,28,2078528,1007971,21,562,44995,17,3,45,159085,Yes,Self-employed,Education,Owned,Postgraduate,5,5,Branch,0
01000409,51,1599233,407753,54,538,31527,5,0,81,536390,No,Contract,Vehicle,Owned,School,1,2,Online,0
01000410,28,1722796,1623100,10,528,11095,25,3,79,331758,No,Self-employed,Home improvement,Owned,School,4,8,Branch,1
01000411,22,2316945,2814499,30,558,14504,13,1,39,123989,Yes,Self-employed,Home improvement,Owned,School,5,10,Online,1
01000412,69,1552860,2183265,79,544,66146,14,4,83,263877,No,Contract,Vehicle,Rented,School,0,5,Agent,0
01000413,28,2901191,1065102,20,775,35898,7,3,93,854019,No,Contract,Home improvement,Rented,Postgraduate,0,2,Online,1
01000414,26,1179187,2941925,10,815,15103,25,3,28,1069305,Yes,Contract,Home improvement,Owned,School,0,0,Agent,1
01000415,44,641657,2837756,42,640,30818,12,2,86,360764,No,Contract,Vehicle,Rented,Postgraduate,0,4,Online,0
01000416,46,552816,2961113,69,572,10413,21,1,66,153611,No,Self-employed,Personal,Rented,Postgraduate,3,1,Online,0
01000417,27,353928,1101855,46,748,52754,14,4,29,499027,Yes,Self-employed,Home improvement,Rented,School,3,10,Agent,1
01000418,40,1120196,2995877,81,535,27095,5,6,73,8327,Yes,Salaried,Education,Owned,Graduate,1,4,Branch,1
01000419,48,1765010,2966677,74,845,60731,2,1,87,489718,Yes,Self-employed,Home improvement,Rented,School,2,9,Branch,1
01000420,48,2943057,1874025,36,723,29127,22,7,32,741784,No,Salaried,Home improvement,Rented,School,4,7,Agent,0
01000421,32,543447,342701,1,847,66765,19,2,27,546411,Yes,Self-employed,Personal,Owned,School,2,3,Agent,0
01000422,24,787529,1323583,8,651,16114,12,0,12,1009725,No,Salaried,Personal,Rented,Graduate,0,1,Online,1
01000423,31,254352,1939932,21,733,48009,7,6,49,1158221,Yes,Contract,Home improvement,Owned,Postgraduate,4,1,Online,0
01000424,29,947039,1095739,38,640,51950,6,1,80,74205,No,Salaried,Vehicle,Owned,Postgraduate,2,2,Agent,0
01000425,57,658039,793646,56,535,47805,12,3,52,20507,No,Salaried,Education,Owned,Postgraduate,5,10,Online,0
01000426,58,2754868,3468214,65,517,56826,25,3,88,609302,No,Contract,Home improvement,Owned,School,2,5,Agent,1
01000427,34,437468,1298801,5,850,11898,20,0,26,1036811,Yes,Salaried,Vehicle,Family,Postgraduate,2,5,Agent,0
01000428,52,2910162,1696405,15,776,19451,23,7,21,511532,No,Salaried,Vehicle,Rented,Postgraduate,4,3,Branch,1
01000429,53,676648,518214,24,554,71000,21,3,23,228836,Yes,Contract,Home improvement,Rented,Postgraduate,3,6,Online,0
01000430,65,2655844,3423225,78,501,15111,22,0,18,352022,Yes,Salaried,Home improvement,Family,Graduate,0,2,Agent,1
01000431,47,1847985,1037343,40,494,23990,20,5,21,498982,No,Self-employed,Education,Owned,Graduate,2,10,Agent,0
01000432,36,352722,3373155,26,483,13034,16,7,66,176122,No,Salaried,Education,Family,Postgraduate,1,7,Agent,1
01000433,27,501076,2807205,17,594,1885,24,1,51,1166123,No,Salaried,Personal,Family,School,0,9,Branch,1
01000434,58,2026173,1993831,25,623,25619,18,7,86,803460,Yes,Salaried,Home improvement,Rented,Graduate,5,0,Branch,0
01000435,28,505850,789594,81,555,41093,25,5,61,1165127,No,Salaried,Education,Rented,Postgraduate,3,10,Branch,1
01000436,49,379286,1609047,24,670,48641,3,5,21,66813,No,Salaried,Vehicle,Family,Postgraduate,0,6,Agent,0
01000437,21,2597214,1888949,60,645,50426,4,6,21,472796,Yes,Salaried,Home improvement,Family,School,1,5,Online,1
01000438,31,627812,3164969,38,746,50549,7,7,54,483460,No,Salaried,Personal,Family,Graduate,2,7,Online,1
01000439,48,1424937,2115090,81,528,41589,15,6,86,266267,No,Self-employed,Personal,Family,Postgraduate,5,2,Branch,1
01000440,60,597726,1852617,43,695,67995,16,1,71,151352,Yes,Self-employed,Vehicle,Owned,Graduate,0,6,Branch,1
01000441,41,2130550,1850429,31,809,47906,9,4,61,554299,Yes,Salaried,Home improvement,Rented,Graduate,4,8,Online,0
01000442,57,292076,1606109,43,846,22073,20,5,45,619276,No,Self-employed,Personal,Rented,School,3,7,Agent,0
01000443,34,741052,2617878,6,726,3368,16,6,14,653604,No,Contract,Vehicle,Family,Graduate,0,4,Agent,0
01000444,55,2812010,3048126,11,648,55109,20,7,73,357992,Yes,Self-employed,Home improvement,Family,School,0,6,Branch,1
01000445,22,2131898,340891,79,538,68270,9,7,5,397108,Yes,Self-employed,Personal,Family,Postgraduate,2,5,Agent,0
01000446,58,443682,2662932,68,553,13286,7,1,56,544503,Yes,Contract,Personal,Owned,Postgraduate,4,3,Online,1
01000447,51,1828083,2910757,61,504,21608,10,1,86,1167412,No,Self-employed,Personal,Owned,Postgraduate,0,5,Branch,0
01000448,55,2365295,2903177,30,831,24522,7,1,67,692481,Yes,Self-employed,Vehicle,Family,Postgraduate,4,8,Online,1
01000449,62,1281608,1756695,59,612,25518,16,4,67,235828,Yes,Contract,Vehicle,Rented,Graduate,3,5,Online,1
01000450,50,2802279,1968610,31,564,34212,25,2,65,81733,No,Contract,Home improvement,Family,Graduate,0,0,Branch,0
01000451,37,745677,1865408,31,546,3889,12,1,28,185921,Yes,Self-employed,Home improvement,Rented,Graduate,4,9,Online,0
01000452,59,2699011,2741510,34,546,45555,24,7,75,416569,Yes,Salaried,Personal,Rented,Postgraduate,1,8,Online,0
01000453,51,2419977,837928,84,647,30126,14,7,64,200621,Yes,Self-employed,Home improvement,Family,Postgraduate,5,3,Online,1
01000454,48,961116,2286801,63,502,24180,21,3,64,1104195,Yes,Self-employed,Education,Owned,Graduate,5,7,Agent,1
01000455,32,1314092,3371093,34,603,4112,17,2,65,763501,No,Salaried,Home improvement,Owned,Postgraduate,5,4,Branch,0
