mortgage_application_id,applicant_age,gross_income_inr,property_value_inr,down_payment_inr,requested_mortgage_inr,credit_score,debt_to_income_pct,employment_years,recent_delinquencies,property_type,employment_category,coapplicant,property_city_tier,existing_mortgage,documentation_complete,savings_inr,loan_term_years,property_usage,preapproved
05000214,21,943044,7941508,1657905,32,542,28,3,7,Independent house,Salaried,Yes,Tier 1,Yes,Yes,1466297,18,Self occupied,0
05000215,53,1830995,5120153,4323085,65,809,20,10,10,Apartment,Business,No,Tier 3,No,No,531542,19,Investment,0
05000216,60,1196779,8710259,1475352,33,610,45,19,7,Independent house,Self-employed,Yes,Tier 1,No,Yes,1353861,10,Investment,1
05000217,62,2622400,15355605,4399004,36,575,30,23,2,Independent house,Self-employed,No,Tier 2,No,No,234607,20,Investment,1
05000218,67,2305734,14350275,5001843,37,676,69,25,5,Independent house,Salaried,Yes,Tier 2,No,No,146034,12,Investment,1
05000219,48,2933025,1951404,2731850,26,506,15,25,1,Apartment,Salaried,No,Tier 3,Yes,Yes,1410452,6,Investment,0
05000220,46,2290321,8071683,3997516,27,706,4,3,3,Apartment,Business,No,Tier 3,Yes,No,703184,0,Investment,0
05000221,46,950088,5382702,2922182,40,833,60,23,7,Independent house,Salaried,Yes,Tier 2,Yes,Yes,197320,18,Investment,1
05000222,32,1478524,17299396,5657853,26,539,20,17,2,Apartment,Business,No,Tier 3,Yes,No,1545577,3,Investment,1
05000223,33,815795,17542356,3864597,23,536,44,7,0,Apartment,Business,Yes,Tier 2,No,No,1440002,18,Investment,0
05000224,47,470900,11258719,1994413,25,806,69,11,10,Apartment,Self-employed,Yes,Tier 2,No,Yes,1675375,25,Self occupied,1
05000225,31,869132,4138173,2496032,46,579,23,20,3,Independent house,Self-employed,Yes,Tier 3,No,Yes,843575,14,Investment,1
05000226,38,881683,9432854,4964555,27,824,42,14,1,Plot,Business,No,Tier 2,Yes,Yes,482416,9,Self occupied,1
05000227,25,2901203,11727454,5887558,29,570,33,21,7,Plot,Business,Yes,Tier 2,No,No,1640723,16,Self occupied,1
05000228,21,1088693,3452367,3919980,35,573,7,21,10,Plot,Business,No,Tier 3,Yes,Yes,751956,7,Self occupied,0
05000229,48,419331,3515923,1253920,52,810,22,20,6,Apartment,Self-employed,No,Tier 3,Yes,Yes,1047584,2,Self occupied,0
05000230,66,2708342,5637546,2393094,63,633,13,11,10,Apartment,Self-employed,Yes,Tier 1,Yes,Yes,1050261,15,Self occupied,1
05000231,22,2391149,10135668,1528624,53,844,32,20,2,Plot,Business,Yes,Tier 3,No,No,941103,16,Investment,1
05000232,30,2532922,12116985,1824127,43,631,41,18,4,Plot,Self-employed,Yes,Tier 3,No,Yes,399597,24,Self occupied,0
05000233,54,252034,6417244,3628666,40,556,92,1,0,Plot,Business,Yes,Tier 3,Yes,Yes,905722,18,Self occupied,0
05000234,62,910023,11134178,903310,36,835,84,18,8,Plot,Self-employed,No,Tier 3,Yes,Yes,1339566,16,Investment,0
05000235,48,606407,13530925,1564713,62,850,60,22,5,Apartment,Self-employed,Yes,Tier 1,No,Yes,82196,25,Self occupied,1
05000236,55,399632,2450351,5588364,46,846,44,9,0,Plot,Salaried,Yes,Tier 3,Yes,Yes,1516993,18,Investment,0
05000237,57,1310920,11129742,2804260,42,591,46,23,9,Apartment,Salaried,No,Tier 2,No,No,824360,18,Self occupied,0
05000238,26,1066496,5201170,3010502,65,551,68,19,2,Plot,Self-employed,Yes,Tier 2,Yes,Yes,1766337,24,Self occupied,1
05000239,57,334268,7328027,2579339,38,836,66,7,8,Apartment,Salaried,Yes,Tier 1,Yes,No,1075435,1,Investment,0
05000240,38,1487172,2482764,1989575,54,664,64,21,9,Plot,Salaried,No,Tier 1,No,Yes,155481,13,Self occupied,1
05000241,58,886988,10485747,1970315,40,828,58,21,1,Independent house,Salaried,No,Tier 2,No,No,1445665,22,Investment,0
05000242,48,1146406,3662920,3340412,31,592,22,22,8,Independent house,Self-employed,Yes,Tier 2,No,Yes,136189,6,Investment,1
05000243,39,312841,9246363,3653299,69,787,93,21,8,Independent house,Self-employed,No,Tier 2,No,No,317013,18,Investment,1
05000244,63,2935190,6881293,2709908,53,696,8,25,10,Apartment,Salaried,No,Tier 2,Yes,Yes,1498523,19,Investment,0
05000245,27,1385826,3228331,5183140,29,754,48,21,9,Independent house,Salaried,No,Tier 2,Yes,No,1388429,21,Self occupied,0
05000246,55,1730433,12365853,120974,26,591,23,18,3,Independent house,Salaried,Yes,Tier 3,No,No,1642879,5,Self occupied,0
05000247,50,1265395,12465625,316514,25,768,85,19,0,Plot,Salaried,No,Tier 3,Yes,No,774814,14,Investment,0
05000248,52,2906640,5820094,2203985,41,828,93,24,9,Independent house,Salaried,No,Tier 3,Yes,No,1298047,7,Investment,1
05000249,47,2065997,12619162,762610,23,620,57,0,9,Apartment,Business,Yes,Tier 2,No,Yes,1157408,15,Investment,0
05000250,59,440285,14897644,3281182,56,523,35,11,2,Independent house,Business,No,Tier 2,Yes,No,106300,13,Self occupied,0
05000251,50,472595,2652800,3418981,36,582,32,20,6,Plot,Self-employed,No,Tier 1,Yes,Yes,925842,1,Self occupied,1
05000252,49,2423546,9109679,4180796,62,700,37,19,3,Plot,Salaried,Yes,Tier 2,No,No,661994,12,Self occupied,0
05000253,30,1396194,10118194,3215820,23,745,40,4,5,Independent house,Business,Yes,Tier 2,Yes,Yes,1254191,1,Self occupied,0
05000254,68,256641,16366030,3328446,57,610,9,8,10,Plot,Business,Yes,Tier 3,Yes,Yes,1528222,4,Self occupied,1
05000255,56,2925668,17338347,5229163,22,514,41,16,3,Independent house,Salaried,Yes,Tier 3,Yes,Yes,1013345,3,Self occupied,0
05000256,66,1280747,10500527,4593417,41,783,31,0,8,Independent house,Self-employed,Yes,Tier 3,No,No,701178,21,Self occupied,0
05000257,24,1713331,10987175,290096,64,697,9,10,3,Apartment,Self-employed,Yes,Tier 1,No,No,240439,1,Investment,0
05000258,45,1640966,15302147,2469922,34,792,29,17,0,Apartment,Self-employed,No,Tier 1,No,No,896962,12,Investment,1
05000259,60,1218276,8070701,1145086,25,700,58,7,0,Apartment,Business,No,Tier 3,Yes,No,972374,14,Investment,0
05000260,34,1695008,5580921,4973871,40,712,38,24,5,Independent house,Salaried,Yes,Tier 1,Yes,No,1431172,12,Self occupied,0
05000261,51,1372122,8196459,2196269,39,642,8,8,4,Apartment,Salaried,Yes,Tier 2,Yes,Yes,506419,1,Self occupied,0
05000262,23,2694966,8476305,3842899,66,506,8,23,8,Apartment,Salaried,No,Tier 1,No,Yes,1503639,13,Investment,0
05000263,38,547770,10178645,5594911,67,705,82,10,9,Plot,Self-employed,No,Tier 2,Yes,No,429450,21,Investment,1
05000264,50,2927677,4097337,4418525,57,657,15,22,9,Plot,Self-employed,No,Tier 1,No,Yes,1035369,21,Self occupied,1
05000265,34,1636749,5451545,3631184,28,791,58,18,6,Apartment,Salaried,Yes,Tier 3,Yes,Yes,1030476,8,Self occupied,0
05000266,63,2700513,7869219,1644918,51,529,19,24,5,Apartment,Salaried,No,Tier 3,No,No,1698820,1,Self occupied,0
05000267,58,1738339,12802718,2070880,28,845,49,18,2,Independent house,Business,No,Tier 1,No,Yes,289450,25,Investment,0
05000268,26,2043323,6723720,1437869,39,806,67,20,7,Apartment,Business,Yes,Tier 3,No,No,665969,11,Self occupied,1
05000269,43,1575530,7371601,2593787,44,528,32,11,4,Plot,Self-employed,Yes,Tier 2,No,Yes,1428103,13,Self occupied,0
05000270,36,550451,1550481,4833568,25,561,86,17,4,Plot,Business,Yes,Tier 3,Yes,Yes,1580378,19,Investment,0
05000271,22,487722,12168225,403492,40,767,17,3,9,Apartment,Salaried,Yes,Tier 1,No,Yes,1553475,22,Investment,0
05000272,48,714616,3298048,3193798,66,519,38,20,4,Independent house,Self-employed,No,Tier 2,No,Yes,787998,19,Investment,0
05000273,68,1669902,9878916,3294694,50,757,33,0,6,Independent house,Salaried,No,Tier 2,Yes,Yes,982000,16,Self occupied,1
05000274,23,1455121,15069642,5861809,42,684,59,19,3,Apartment,Self-employed,Yes,Tier 1,No,No,465577,0,Self occupied,1
05000275,62,1126887,9796060,5667836,37,830,9,4,5,Plot,Business,Yes,Tier 1,No,No,257712,9,Self occupied,1
05000276,38,1392768,11035604,4739293,58,760,31,6,10,Apartment,Self-employed,No,Tier 2,Yes,No,608497,16,Self occupied,0
05000277,23,2425115,4057379,5817376,22,632,64,3,6,Apartment,Salaried,Yes,Tier 3,Yes,No,1068869,2,Investment,0
05000278,38,2063532,8115940,682267,37,533,49,25,9,Apartment,Salaried,No,Tier 2,No,No,1031082,4,Investment,1
05000279,34,1807428,11862132,1810682,57,668,93,2,6,Apartment,Salaried,Yes,Tier 1,Yes,No,1755447,11,Investment,1
05000280,22,2104320,13481075,3475510,46,489,55,7,1,Plot,Self-employed,No,Tier 2,Yes,No,29639,17,Self occupied,0
05000281,26,1014194,16762753,1966230,21,578,70,13,7,Plot,Self-employed,No,Tier 2,Yes,No,1477541,4,Investment,0
05000282,57,576448,5258986,1313168,35,576,86,12,1,Apartment,Business,No,Tier 1,No,Yes,1094293,15,Investment,0
05000283,25,1695868,8456498,4172016,69,818,91,11,9,Plot,Self-employed,Yes,Tier 1,No,Yes,1648521,16,Self occupied,1
05000284,46,1184152,6712512,669049,56,595,65,23,2,Apartment,Business,Yes,Tier 1,Yes,No,1081437,7,Investment,1
05000285,33,2260937,12940014,2610824,36,688,56,23,3,Plot,Self-employed,Yes,Tier 2,No,Yes,652203,4,Self occupied,1
05000286,48,1145581,8340499,4336126,58,762,63,1,6,Plot,Business,Yes,Tier 2,Yes,Yes,1588315,8,Self occupied,1
05000287,61,1698258,12659692,1306211,67,773,85,23,1,Plot,Business,No,Tier 1,No,Yes,739394,24,Investment,1
05000288,22,1232041,1686170,716437,50,737,17,18,2,Independent house,Business,No,Tier 1,Yes,Yes,804404,21,Investment,0
05000289,66,988716,9545279,772735,42,772,89,20,0,Apartment,Self-employed,Yes,Tier 2,No,No,275672,25,Self occupied,0
05000290,27,2653960,6374423,5584656,63,553,40,20,0,Apartment,Salaried,Yes,Tier 2,Yes,Yes,209571,5,Investment,1
05000291,38,367221,5214475,5341555,64,577,40,10,7,Plot,Salaried,Yes,Tier 3,Yes,Yes,1272377,18,Investment,0
05000292,30,2483272,4931758,5736306,21,650,17,1,3,Apartment,Business,Yes,Tier 2,No,Yes,318040,25,Investment,1
05000293,58,1392196,15862011,2322971,54,729,23,15,6,Independent house,Self-employed,Yes,Tier 1,No,No,1762010,17,Self occupied,0
05000294,32,1078484,9448585,694591,25,750,7,6,5,Independent house,Self-employed,Yes,Tier 3,No,Yes,1695092,8,Investment,0
05000295,58,2707056,3672166,4799464,41,751,37,24,1,Plot,Business,Yes,Tier 1,No,No,941393,14,Self occupied,0
05000296,44,2652765,7853401,3961254,66,769,13,11,10,Plot,Salaried,No,Tier 2,No,Yes,470365,22,Self occupied,0
05000297,47,702693,16588437,696325,45,628,22,22,10,Apartment,Business,Yes,Tier 1,Yes,No,350899,9,Investment,1
05000298,34,2922778,13087731,5735784,64,691,70,14,8,Plot,Self-employed,No,Tier 2,No,Yes,1316407,21,Self occupied,1
05000299,23,2586298,3153750,4961688,58,847,81,22,4,Apartment,Business,Yes,Tier 3,No,No,1317488,12,Investment,1
05000300,51,1954441,14538909,3654240,55,726,7,13,3,Plot,Salaried,Yes,Tier 2,Yes,Yes,321235,15,Investment,0
05000301,27,608430,14084317,2561410,56,656,17,18,2,Plot,Business,No,Tier 3,Yes,Yes,1550083,2,Self occupied,1
05000302,59,2404704,14800767,5097977,41,702,81,16,10,Independent house,Business,No,Tier 1,No,Yes,17811,2,Investment,0
05000303,33,1438741,2522344,2194209,46,496,94,19,5,Apartment,Salaried,Yes,Tier 3,Yes,Yes,989798,5,Investment,0
05000304,50,1357057,5954213,756451,23,561,72,5,10,Apartment,Business,Yes,Tier 2,No,Yes,375346,1,Self occupied,1
05000305,61,1069220,13415832,4328995,63,603,33,24,10,Independent house,Self-employed,Yes,Tier 3,No,No,1274630,9,Self occupied,0
05000306,48,1919883,10953859,5023898,25,642,9,8,2,Plot,Self-employed,No,Tier 2,Yes,No,1612254,25,Self occupied,0
05000307,35,2522636,2148975,2730058,31,711,16,17,9,Apartment,Self-employed,Yes,Tier 2,Yes,Yes,941118,3,Investment,0
05000308,58,2441036,6499269,2542468,41,684,95,10,7,Apartment,Self-employed,Yes,Tier 3,No,Yes,1663532,16,Self occupied,0
05000309,27,1971144,4519045,5748981,23,669,45,18,1,Apartment,Self-employed,Yes,Tier 2,Yes,Yes,967958,8,Investment,1
05000310,45,1652031,6328284,4171784,27,492,44,12,4,Apartment,Salaried,Yes,Tier 2,No,Yes,255746,7,Self occupied,0
05000311,31,1989767,5572473,2367045,65,588,48,23,10,Apartment,Self-employed,No,Tier 1,No,Yes,1063308,22,Investment,1
05000312,33,1493859,1915846,5764644,25,608,57,13,0,Apartment,Self-employed,No,Tier 3,Yes,No,207395,5,Self occupied,0
05000313,32,2736639,9839711,129097,28,578,78,14,9,Plot,Self-employed,Yes,Tier 2,No,No,975720,14,Self occupied,1
05000314,57,2214257,5372473,4190057,42,751,92,4,4,Independent house,Business,No,Tier 2,No,No,1743878,17,Self occupied,1
05000315,48,1795585,7583442,742879,68,827,27,16,1,Apartment,Salaried,No,Tier 1,Yes,No,802629,8,Self occupied,1
05000316,59,2799956,4507710,5961350,31,600,8,5,1,Plot,Salaried,Yes,Tier 2,Yes,Yes,48238,21,Investment,1
05000317,51,282761,8293079,4988720,29,698,53,22,5,Plot,Salaried,No,Tier 1,Yes,Yes,1014257,20,Investment,1
05000318,62,539911,9300823,240081,57,740,52,21,1,Plot,Business,No,Tier 1,Yes,No,1661767,10,Investment,0
05000319,48,1296695,10103546,4615932,23,787,58,14,2,Plot,Self-employed,Yes,Tier 2,Yes,No,1778970,20,Self occupied,0
05000320,69,2985892,7431347,2556397,53,626,91,7,10,Plot,Self-employed,Yes,Tier 1,No,Yes,828397,20,Investment,1
05000321,41,1046333,15141351,682604,36,636,49,21,1,Plot,Self-employed,Yes,Tier 1,No,No,1084901,8,Investment,0
05000322,66,2002707,13348280,5172604,67,491,42,2,3,Independent house,Business,No,Tier 2,Yes,Yes,1129058,1,Investment,0
05000323,48,994239,9106095,3280321,42,558,45,20,9,Independent house,Business,No,Tier 1,Yes,No,753317,20,Self occupied,0
05000324,34,2420633,7527852,5413942,38,766,51,13,3,Apartment,Business,Yes,Tier 1,No,Yes,1045074,13,Self occupied,0
05000325,24,2992257,15377549,3290502,44,563,13,1,9,Plot,Business,No,Tier 2,No,No,1368061,15,Self occupied,0
05000326,37,1880291,2626357,3981457,39,710,58,17,1,Apartment,Business,No,Tier 3,No,No,985962,3,Investment,0
05000327,24,1097698,17517235,5959461,56,484,47,24,5,Apartment,Salaried,No,Tier 1,No,Yes,1625163,12,Investment,1
05000328,66,533136,8059596,3701399,42,628,56,5,4,Apartment,Salaried,Yes,Tier 2,Yes,No,107530,24,Investment,1
05000329,26,2923928,7926989,2699534,50,834,17,9,6,Independent house,Self-employed,No,Tier 1,No,No,1181548,24,Investment,1
05000330,61,1230209,17802646,1991598,39,556,31,19,0,Plot,Business,No,Tier 1,Yes,Yes,987714,9,Investment,1
05000331,57,2613809,6428047,497021,25,675,76,0,9,Independent house,Self-employed,Yes,Tier 1,Yes,Yes,438774,7,Investment,1
05000332,65,2572737,9467557,822166,50,848,61,10,3,Independent house,Self-employed,No,Tier 2,No,Yes,1176149,24,Investment,0
05000333,66,1596205,3929052,4384489,24,565,62,5,4,Independent house,Business,No,Tier 3,No,No,1458825,11,Investment,1
05000334,68,2542183,4383830,2476635,64,739,47,0,9,Apartment,Self-employed,No,Tier 2,Yes,Yes,1026495,24,Self occupied,1
05000335,46,1351027,2052896,596507,26,588,70,0,1,Plot,Business,Yes,Tier 1,No,No,1679576,5,Investment,1
05000336,58,2938112,8928142,5531205,52,682,67,16,10,Plot,Self-employed,No,Tier 1,Yes,No,539529,19,Investment,0
05000337,30,360870,5267470,1434639,24,613,7,13,4,Apartment,Self-employed,No,Tier 1,No,Yes,843624,10,Investment,0
05000338,58,1453569,12503491,3444894,42,689,14,12,2,Independent house,Business,No,Tier 1,No,Yes,1102827,19,Investment,0
05000339,32,2423267,1841087,5525711,57,670,86,2,5,Apartment,Self-employed,No,Tier 1,Yes,Yes,787273,6,Self occupied,0
05000340,29,2670986,13321904,4591926,37,824,9,14,9,Plot,Self-employed,Yes,Tier 2,Yes,No,1009979,10,Investment,1
05000341,60,779618,5217698,3896389,48,849,50,21,9,Apartment,Self-employed,Yes,Tier 3,No,Yes,864005,22,Self occupied,1
05000342,67,2323351,3295581,2649233,21,622,56,2,9,Apartment,Self-employed,No,Tier 1,No,No,1386031,4,Investment,0
05000343,55,657107,3078657,347032,54,595,57,13,7,Independent house,Salaried,Yes,Tier 3,No,No,552729,3,Self occupied,0
05000344,31,395696,16247922,1091332,55,795,53,12,0,Apartment,Salaried,No,Tier 1,Yes,Yes,1118339,15,Investment,0
05000345,42,699560,12412933,5886183,50,528,48,24,8,Apartment,Business,No,Tier 2,No,Yes,1242963,0,Investment,1
05000346,59,884483,1810978,5890354,48,481,39,17,2,Independent house,Self-employed,No,Tier 3,No,Yes,175399,20,Investment,1
05000347,65,2827893,16278894,3194030,32,795,72,12,8,Plot,Self-employed,Yes,Tier 1,Yes,Yes,1741285,12,Self occupied,1
05000348,53,2753176,17851325,5859934,49,806,50,13,2,Apartment,Business,No,Tier 1,No,Yes,1411859,14,Self occupied,0
05000349,45,2174384,1588505,1313308,32,823,47,20,9,Independent house,Business,Yes,Tier 3,Yes,No,702703,1,Self occupied,1
05000350,45,1425706,15822006,4676010,49,764,83,20,9,Plot,Self-employed,Yes,Tier 3,No,No,861531,21,Self occupied,1
05000351,30,1249291,17216501,1273900,69,557,7,16,7,Plot,Self-employed,No,Tier 2,Yes,No,261024,1,Investment,1
05000352,65,1730929,5601043,3214397,58,499,27,8,8,Independent house,Business,Yes,Tier 2,No,No,1598900,16,Investment,0
05000353,67,1438489,3852837,1427305,22,803,56,1,5,Plot,Business,No,Tier 1,No,No,789044,5,Self occupied,1
05000354,52,1762078,7269230,2510987,37,842,7,9,0,Plot,Self-employed,Yes,Tier 1,No,No,1066627,7,Self occupied,0
05000355,36,2499308,6356900,1911936,49,645,35,7,3,Plot,Business,No,Tier 1,Yes,Yes,1446561,14,Self occupied,1
05000356,69,1867031,8721234,3544337,21,608,80,3,3,Plot,Self-employed,Yes,Tier 1,No,Yes,258380,21,Self occupied,0
05000357,36,888074,16329478,3679870,53,763,70,4,5,Plot,Self-employed,No,Tier 1,Yes,Yes,219266,3,Self occupied,0
05000358,32,2443609,13931695,2184332,22,604,76,25,0,Plot,Salaried,Yes,Tier 2,Yes,No,592385,12,Self occupied,1
05000359,32,521388,3983966,2500585,52,529,77,19,2,Independent house,Salaried,Yes,Tier 1,Yes,No,1367221,19,Investment,0
05000360,27,1614468,2715957,3322877,22,529,71,20,0,Independent house,Salaried,No,Tier 3,No,No,1300773,25,Investment,0
05000361,25,330540,8987495,5008554,28,533,28,0,4,Independent house,Salaried,Yes,Tier 1,No,Yes,769809,25,Investment,0
05000362,25,516170,13337857,4636612,51,574,54,18,1,Independent house,Self-employed,Yes,Tier 1,No,Yes,683828,19,Self occupied,0
05000363,23,806642,17770065,1488563,35,641,8,3,6,Plot,Salaried,No,Tier 2,No,No,527165,21,Self occupied,0
05000364,62,660902,15224880,3175230,58,731,36,18,7,Apartment,Self-employed,Yes,Tier 1,Yes,No,70110,13,Self occupied,0
05000365,26,759413,7664497,1512007,60,510,23,7,4,Independent house,Business,Yes,Tier 3,No,No,504280,5,Self occupied,1
05000366,50,1975043,3435526,418416,54,539,91,11,6,Apartment,Business,No,Tier 1,No,Yes,183653,13,Investment,1
05000367,33,1214101,17057783,3620175,35,822,8,23,2,Apartment,Salaried,Yes,Tier 2,No,Yes,1358063,17,Self occupied,1
05000368,67,1120166,17716333,3877230,63,653,87,17,2,Independent house,Self-employed,Yes,Tier 2,No,No,468587,20,Self occupied,1
05000369,32,1814334,6128613,1768856,54,571,29,1,8,Apartment,Business,No,Tier 1,Yes,Yes,1396272,16,Investment,0
05000370,32,1128508,2891484,4370587,42,636,43,7,7,Apartment,Salaried,Yes,Tier 3,Yes,Yes,549339,15,Self occupied,0
05000371,43,983168,16298878,2945211,59,609,6,2,8,Apartment,Business,Yes,Tier 1,Yes,Yes,1443128,25,Self occupied,0
05000372,48,2329150,17065679,5217098,44,755,65,9,0,Independent house,Salaried,Yes,Tier 3,No,No,625587,9,Investment,1
05000373,24,1199468,14813957,5801539,26,654,9,8,10,Independent house,Salaried,No,Tier 2,No,No,1685395,2,Investment,1
05000374,40,2394224,4010485,4855428,29,649,17,15,5,Plot,Self-employed,No,Tier 2,No,No,285236,22,Investment,1
05000375,23,781402,9544666,3958783,44,594,80,12,2,Independent house,Business,No,Tier 1,No,Yes,1240772,9,Self occupied,1
05000376,48,1085981,9119246,3142297,38,553,94,6,5,Independent house,Salaried,No,Tier 1,No,No,1243300,14,Self occupied,1
05000377,22,2906418,10549853,4351634,63,718,80,5,10,Independent house,Self-employed,Yes,Tier 1,Yes,No,1704107,13,Self occupied,1
05000378,38,381769,1714150,2507156,51,800,46,6,1,Plot,Self-employed,No,Tier 3,Yes,No,1516509,11,Self occupied,0
05000379,30,2361084,5994002,1300988,56,523,79,9,0,Plot,Salaried,No,Tier 1,Yes,No,428514,10,Investment,1
05000380,26,1002046,10109897,665560,22,658,11,0,6,Independent house,Self-employed,No,Tier 1,Yes,No,1425596,22,Investment,1
05000381,46,613845,11849299,2458483,46,672,62,17,0,Independent house,Salaried,Yes,Tier 1,Yes,No,1414573,8,Investment,0
05000382,22,2692407,5201113,1259440,62,680,20,1,8,Plot,Business,Yes,Tier 1,No,Yes,690937,5,Investment,1
05000383,34,2010887,4833597,4503729,33,789,27,19,2,Independent house,Self-employed,Yes,Tier 2,No,No,1104239,17,Investment,0
05000384,28,352259,17861401,3386704,23,506,86,18,2,Plot,Business,Yes,Tier 2,No,No,1226683,10,Investment,0
05000385,29,1585159,4198546,3622780,25,482,57,3,5,Plot,Self-employed,Yes,Tier 2,Yes,Yes,1305511,3,Investment,0
05000386,60,677981,14427888,1802247,63,521,30,7,6,Apartment,Salaried,No,Tier 3,Yes,Yes,1082018,15,Investment,1
05000387,61,2370579,5589153,2458549,49,572,55,4,3,Independent house,Salaried,No,Tier 2,Yes,Yes,583328,24,Investment,1
05000388,29,2888320,17072307,2296157,25,602,38,18,6,Apartment,Business,No,Tier 3,No,Yes,851293,11,Self occupied,1
05000389,50,825271,13776895,3940111,45,530,37,16,5,Apartment,Business,Yes,Tier 2,Yes,No,430888,10,Self occupied,0
05000390,53,797857,15283068,3788227,36,486,32,10,6,Independent house,Self-employed,No,Tier 2,No,Yes,1025775,2,Self occupied,0
05000391,65,617341,8473791,3865520,67,768,19,14,8,Plot,Self-employed,Yes,Tier 3,No,No,472783,14,Self occupied,0
05000392,25,2994376,4725460,901952,47,609,43,6,9,Apartment,Business,Yes,Tier 3,No,Yes,1260016,2,Investment,1
05000393,22,2932242,2487051,4852543,50,629,32,12,0,Apartment,Salaried,Yes,Tier 2,No,No,1565122,8,Self occupied,1
05000394,62,2777906,12463079,3458638,41,532,89,17,2,Apartment,Business,Yes,Tier 1,Yes,No,571508,10,Investment,1
05000395,24,2530920,11541672,1733561,65,601,15,10,2,Independent house,Self-employed,No,Tier 3,Yes,No,1451075,2,Self occupied,0
05000396,34,2767509,3471813,4170161,64,626,54,11,3,Plot,Business,Yes,Tier 2,No,Yes,1783223,12,Investment,0
05000397,47,1034106,14866195,921835,48,685,52,0,2,Plot,Salaried,No,Tier 2,Yes,Yes,1334015,13,Investment,0
05000398,25,1893002,2730523,5746083,22,698,60,11,1,Apartment,Self-employed,Yes,Tier 1,Yes,No,1686814,24,Self occupied,1
05000399,39,1695005,12505047,628763,56,751,69,24,9,Apartment,Business,Yes,Tier 3,No,Yes,331156,14,Self occupied,0
05000400,48,2629111,16750106,925764,27,575,85,25,10,Independent house,Self-employed,Yes,Tier 1,No,Yes,63937,6,Self occupied,0
05000401,68,2998991,16914331,2130359,63,628,80,23,4,Apartment,Salaried,Yes,Tier 1,Yes,No,1151325,3,Self occupied,0
05000402,48,907217,13209371,4732717,39,799,93,24,0,Independent house,Salaried,Yes,Tier 2,Yes,Yes,1004560,8,Self occupied,0
05000403,54,1448102,10140937,1411727,46,738,71,22,9,Apartment,Business,Yes,Tier 1,Yes,No,1180823,22,Self occupied,1
05000404,33,2348123,1668232,4423389,31,767,34,25,8,Plot,Salaried,Yes,Tier 2,No,No,1479967,24,Self occupied,0
05000405,22,1841220,9497646,3150303,44,678,93,0,4,Apartment,Salaried,Yes,Tier 1,No,Yes,1173217,11,Investment,1
05000406,61,1478756,10976101,3207967,32,765,64,21,3,Plot,Self-employed,Yes,Tier 2,No,No,913300,5,Investment,1
05000407,53,718408,3812754,5596440,64,805,57,7,5,Independent house,Self-employed,No,Tier 1,Yes,Yes,284485,15,Self occupied,1
05000408,58,707830,4655427,5210176,37,501,57,12,4,Apartment,Business,Yes,Tier 2,No,No,503678,18,Investment,0
05000409,56,1641500,1788437,274342,69,606,15,5,9,Apartment,Salaried,Yes,Tier 3,Yes,Yes,121577,11,Investment,0
05000410,22,1380098,7129336,3873430,58,514,94,11,5,Independent house,Self-employed,No,Tier 2,Yes,No,26976,20,Self occupied,0
05000411,55,2949607,13610595,4513320,28,601,65,22,1,Independent house,Salaried,No,Tier 1,Yes,No,1102325,10,Investment,0
05000412,46,2449364,17590303,4436518,49,766,58,1,2,Plot,Business,No,Tier 1,No,No,1439980,12,Investment,0
05000413,69,829803,17835050,5093090,62,744,60,7,9,Plot,Salaried,Yes,Tier 2,Yes,No,381715,23,Self occupied,0
05000414,24,2518439,13935878,5776041,46,830,18,11,5,Independent house,Salaried,Yes,Tier 3,Yes,Yes,1291213,16,Self occupied,1
05000415,66,1379428,3207482,5476785,35,556,53,0,8,Apartment,Self-employed,Yes,Tier 2,No,No,555994,1,Investment,0
05000416,22,691434,4042764,3939862,25,647,25,19,1,Plot,Self-employed,Yes,Tier 1,No,Yes,356903,8,Self occupied,0
05000417,50,2821727,7049891,1314753,39,528,82,18,1,Apartment,Salaried,Yes,Tier 3,Yes,No,1180774,16,Self occupied,1
05000418,30,2998821,11446822,3609398,28,711,10,25,0,Independent house,Self-employed,Yes,Tier 1,Yes,Yes,1496075,0,Investment,1
05000419,38,2029789,12980774,2288605,28,804,61,11,8,Apartment,Salaried,No,Tier 2,Yes,Yes,824192,19,Self occupied,1
05000420,29,2752009,8036308,1815791,26,735,23,8,9,Plot,Salaried,Yes,Tier 1,Yes,No,724466,19,Self occupied,0
05000421,67,1091023,6176972,1640614,54,645,26,12,6,Independent house,Business,No,Tier 2,Yes,Yes,741866,24,Investment,0
05000422,37,2037551,8068591,2288961,60,492,69,7,7,Independent house,Business,No,Tier 2,No,No,414083,21,Investment,1
05000423,59,932374,11720249,1266689,48,565,90,15,5,Apartment,Business,No,Tier 2,No,No,771722,25,Self occupied,0
05000424,52,1496826,8091052,3722708,41,507,71,19,0,Independent house,Salaried,Yes,Tier 2,No,No,63988,14,Investment,1
05000425,67,2792830,3860268,1206903,40,602,26,20,6,Apartment,Business,No,Tier 3,Yes,No,889203,13,Investment,1
05000426,37,882983,14248213,3689352,51,653,52,23,1,Plot,Salaried,Yes,Tier 2,Yes,No,142923,17,Investment,0
05000427,58,1629486,5225379,655227,27,573,22,9,0,Apartment,Self-employed,Yes,Tier 2,Yes,Yes,359450,20,Investment,0
