age,annual_income_inr,account_balance_inr,tenure_years,credit_score,credit_utilization,missed_payments_12m,existing_loans,monthly_transactions,employment_type,account_type,region,risk_category
42,136139,97101,8,729,0.13,1,2,54,Business owner,Salary,East,Low Risk
54,98192,75762,13,823,0.31,4,4,5,Self-employed,Salary,North,Moderate Risk
55,100968,108332,3,741,0.48,2,0,53,Self-employed,Salary,South,Moderate Risk
47,81611,776205,12,477,0.49,1,2,39,Business owner,Savings,East,High Risk
59,125570,126352,15,544,0.68,4,4,34,Self-employed,Savings,East,Very High Risk
25,88099,645163,15,840,0.78,2,1,25,Self-employed,Current,West,Very Low Risk
42,117790,119867,4,774,0.54,0,3,49,Salaried,Current,East,Low Risk
57,64683,66135,18,473,0.3,0,3,21,Business owner,Savings,South,Very High Risk
53,107795,189198,12,772,0.32,1,0,3,Self-employed,Salary,North,Low Risk
40,97879,535481,15,837,0.38,1,2,9,Self-employed,Current,West,Very Low Risk
29,106827,987633,3,714,0.26,3,1,7,Self-employed,Current,East,Low Risk
32,53781,576331,16,848,0.36,2,3,4,Salaried,Savings,North,Very Low Risk
56,67004,163880,16,623,0.63,4,3,19,Salaried,Salary,East,Very High Risk
52,69144,510595,7,537,0.18,3,3,24,Self-employed,Current,West,Very High Risk
35,102388,202497,16,701,0.21,1,2,32,Self-employed,Current,West,Very Low Risk
39,140050,220082,8,596,0.87,1,1,15,Business owner,Salary,West,High Risk
59,34439,501287,11,541,0.27,1,3,12,Self-employed,Savings,South,High Risk
33,114901,461038,20,640,0.82,3,2,37,Business owner,Current,West,Moderate Risk
67,136155,938131,7,597,0.06,1,4,3,Salaried,Savings,West,Low Risk
54,62803,243313,12,837,0.63,3,0,12,Business owner,Savings,South,Low Risk
22,132471,538071,18,578,0.52,4,4,4,Self-employed,Savings,West,High Risk
22,142425,198068,14,487,0.56,0,2,3,Business owner,Current,West,High Risk
45,89359,854477,7,839,0.26,1,0,39,Salaried,Current,South,Very Low Risk
55,64628,890317,12,546,0.85,3,3,8,Salaried,Savings,East,High Risk
36,74407,501342,0,766,0.13,2,2,31,Business owner,Salary,North,Low Risk
40,34765,317905,0,743,0.3,4,3,26,Self-employed,Savings,South,Very High Risk
56,44310,877043,12,786,0.87,1,3,28,Business owner,Savings,East,Very Low Risk
37,92727,856471,19,737,0.62,4,4,38,Self-employed,Salary,East,Low Risk
30,101887,579153,10,518,0.29,1,4,18,Business owner,Current,South,High Risk
28,129673,235612,14,826,0.26,2,2,48,Salaried,Current,East,Very Low Risk
54,51816,149947,16,767,0.8,1,0,24,Business owner,Salary,East,Low Risk
52,152402,106680,18,611,0.11,0,3,49,Self-employed,Current,North,Very Low Risk
28,142372,353010,0,655,0.12,0,3,44,Business owner,Salary,East,Moderate Risk
63,25955,790080,5,812,0.57,1,4,11,Business owner,Current,West,Low Risk
36,136341,313596,10,776,0.35,1,0,15,Self-employed,Salary,West,Very Low Risk
55,80212,295111,9,509,0.91,3,4,8,Business owner,Savings,South,Very High Risk
24,124974,791292,10,649,0.55,3,2,11,Business owner,Savings,East,Low Risk
60,53227,278459,8,722,0.15,2,0,7,Business owner,Salary,East,Moderate Risk
56,80707,591553,16,547,0.78,0,0,3,Salaried,Current,South,Moderate Risk
21,120369,147136,3,582,0.5,3,4,33,Salaried,Savings,North,Very High Risk
42,24210,254791,10,658,0.72,2,4,45,Business owner,Salary,East,Very High Risk
57,26974,293140,10,519,0.18,4,0,36,Self-employed,Salary,West,Very High Risk
61,106757,391547,9,721,0.35,1,4,19,Salaried,Current,East,Low Risk
68,125166,314292,18,635,0.11,0,2,5,Salaried,Savings,West,Very Low Risk
59,72278,543655,1,805,0.72,4,1,25,Business owner,Salary,South,Moderate Risk
65,154366,73624,6,551,0.82,4,1,47,Salaried,Salary,South,Very High Risk
53,67656,422831,3,834,0.47,2,2,14,Business owner,Savings,West,Moderate Risk
40,75467,853801,19,761,0.28,4,3,32,Salaried,Salary,South,Very Low Risk
64,149497,823744,14,597,0.17,3,4,25,Self-employed,Salary,South,Low Risk
54,112206,356049,18,766,0.54,3,3,44,Self-employed,Current,East,Low Risk
51,69068,659220,14,637,0.2,2,3,23,Business owner,Savings,North,Moderate Risk
48,82265,949758,6,588,0.51,0,3,48,Self-employed,Current,North,Moderate Risk
39,92448,771044,7,735,0.3,0,3,19,Self-employed,Salary,East,Very Low Risk
28,135330,816514,6,490,0.24,4,4,33,Salaried,Savings,East,Very High Risk
61,53894,829678,1,718,0.83,1,0,49,Salaried,Savings,East,Low Risk
50,108235,96430,8,604,0.17,2,4,39,Salaried,Current,North,High Risk
68,149933,635522,17,605,0.57,2,0,42,Self-employed,Savings,South,Low Risk
25,49364,143655,3,828,0.33,3,2,35,Self-employed,Savings,East,Moderate Risk
24,63551,387900,6,702,0.71,3,4,33,Business owner,Salary,East,High Risk
30,93731,254070,2,671,0.23,0,2,24,Self-employed,Salary,North,Low Risk
43,125154,292790,17,818,0.88,1,4,49,Salaried,Savings,North,Very Low Risk
33,76121,24313,12,824,0.71,2,1,48,Business owner,Savings,West,Moderate Risk
60,37896,557004,16,791,0.1,2,4,44,Business owner,Current,West,Low Risk
45,84199,805120,2,558,0.49,3,4,42,Business owner,Current,West,High Risk
55,139567,84602,15,539,0.15,4,3,49,Salaried,Savings,South,High Risk
54,155594,578093,14,845,0.45,1,1,19,Salaried,Savings,South,Very Low Risk
25,83385,605649,1,658,0.35,3,0,33,Self-employed,Savings,West,Moderate Risk
60,149392,576832,1,840,0.8,2,0,37,Self-employed,Salary,North,Very Low Risk
36,131488,247161,15,565,0.18,2,3,31,Business owner,Current,West,Moderate Risk
23,52760,305436,11,511,0.59,2,3,38,Self-employed,Salary,South,Very High Risk
57,125553,917955,8,808,0.91,2,3,45,Salaried,Savings,West,Very Low Risk
67,135413,854089,2,542,0.72,0,4,19,Self-employed,Salary,North,Moderate Risk
66,54350,206461,10,736,0.16,2,0,19,Business owner,Current,West,Moderate Risk
60,99861,408056,8,666,0.43,1,2,28,Business owner,Current,South,Low Risk
23,119198,393553,15,525,0.3,0,2,37,Salaried,Salary,South,Low Risk
40,92515,59260,8,702,0.91,3,3,16,Salaried,Salary,South,Very High Risk
48,36392,854084,2,736,0.88,2,2,14,Self-employed,Salary,West,Moderate Risk
27,52291,385972,7,606,0.4,2,1,34,Salaried,Current,South,High Risk
32,76362,167150,5,799,0.61,4,4,18,Business owner,Savings,West,Very High Risk
30,53117,627710,11,648,0.09,2,0,29,Self-employed,Salary,South,Low Risk
68,59635,911858,6,571,0.21,3,2,24,Self-employed,Current,South,High Risk
33,77188,816119,11,820,0.7,4,0,51,Self-employed,Salary,South,Very Low Risk
61,80792,444347,9,633,0.16,2,3,26,Salaried,Salary,South,Moderate Risk
49,155224,789823,18,535,0.19,4,0,21,Salaried,Current,East,Moderate Risk
39,90866,316848,0,735,0.76,0,0,48,Business owner,Salary,West,Low Risk
50,49370,427087,2,844,0.7,3,3,42,Self-employed,Salary,South,Moderate Risk
62,151190,560591,20,751,0.54,1,0,30,Salaried,Current,South,Very Low Risk
43,44435,902161,4,539,0.85,1,0,14,Self-employed,Savings,East,Moderate Risk
60,83024,229284,0,626,0.47,3,1,4,Business owner,Current,North,Very High Risk
21,112796,978215,5,781,0.7,1,2,38,Business owner,Current,East,Very Low Risk
26,53456,652989,12,600,0.38,2,1,47,Self-employed,Salary,South,High Risk
53,63805,681700,12,656,0.37,2,4,3,Salaried,Salary,West,Moderate Risk
62,67637,35907,20,557,0.52,2,3,45,Business owner,Savings,South,Very High Risk
41,117530,556776,3,623,0.12,1,0,38,Business owner,Savings,East,Moderate Risk
43,105215,600531,8,503,0.72,4,2,50,Self-employed,Savings,North,Very High Risk
67,123839,239932,11,539,0.64,4,2,43,Self-employed,Current,West,Very High Risk
53,111534,277369,4,725,0.25,2,0,22,Salaried,Savings,North,Low Risk
42,122587,701881,9,603,0.25,0,0,25,Salaried,Savings,West,Very Low Risk
58,87935,343429,8,485,0.39,0,4,24,Salaried,Salary,North,High Risk
61,131154,391303,8,672,0.23,3,3,31,Self-employed,Salary,West,Moderate Risk
29,86520,872941,9,708,0.69,1,0,33,Business owner,Current,East,Very Low Risk
59,69376,154825,17,485,0.17,2,2,42,Salaried,Salary,West,Very High Risk
29,127835,39047,0,848,0.8,3,0,3,Business owner,Current,North,Low Risk
30,127213,607884,2,824,0.4,0,3,29,Business owner,Current,North,Very Low Risk
26,134141,465187,3,505,0.69,3,0,11,Self-employed,Salary,West,Very High Risk
50,53218,824284,17,610,0.63,3,4,50,Salaried,Salary,North,High Risk
54,158309,2040,11,674,0.52,2,3,3,Business owner,Salary,North,Moderate Risk
21,125898,411633,10,741,0.4,4,3,5,Salaried,Current,South,Moderate Risk
24,73117,136065,4,584,0.29,3,4,15,Self-employed,Salary,East,Very High Risk
40,74501,672217,2,809,0.16,4,2,28,Business owner,Salary,East,Low Risk
64,86433,279844,8,623,0.64,4,0,11,Self-employed,Savings,North,Very High Risk
68,133318,812074,18,491,0.42,1,1,6,Salaried,Current,North,Low Risk
47,98679,402253,7,579,0.27,0,4,14,Salaried,Current,North,High Risk
29,119415,371336,7,637,0.27,1,0,24,Salaried,Current,East,Low Risk
26,55122,482186,1,833,0.21,3,0,48,Business owner,Savings,East,Low Risk
48,155512,854656,1,567,0.06,0,0,47,Business owner,Savings,East,Very Low Risk
30,157485,502907,15,830,0.55,1,0,24,Salaried,Salary,East,Very Low Risk
63,102876,343765,13,481,0.75,3,3,32,Self-employed,Current,North,Very High Risk
46,63635,451084,16,774,0.57,0,0,41,Self-employed,Salary,South,Very Low Risk
64,125987,833578,19,836,0.11,3,1,46,Salaried,Savings,North,Very Low Risk
31,112304,315792,0,681,0.36,3,0,5,Business owner,Current,North,Moderate Risk
60,25629,736731,10,742,0.45,4,4,16,Business owner,Savings,South,High Risk
58,139477,308074,5,494,0.85,0,3,50,Self-employed,Current,North,High Risk
42,82378,643311,11,651,0.41,3,3,28,Business owner,Current,South,Low Risk
67,68446,118109,19,551,0.67,1,3,16,Business owner,Current,North,Very High Risk
59,89412,194595,17,488,0.22,3,3,54,Self-employed,Savings,North,Very High Risk
50,137645,319728,11,704,0.09,1,1,6,Salaried,Savings,West,Very Low Risk
29,93970,292803,11,822,0.82,0,0,6,Business owner,Savings,North,Low Risk
21,86453,955610,17,828,0.23,3,3,51,Salaried,Salary,North,Very Low Risk
26,62013,160267,4,614,0.38,1,1,53,Salaried,Current,South,Very High Risk
39,100153,554304,20,504,0.8,2,0,39,Self-employed,Salary,South,Moderate Risk
63,152100,918799,5,702,0.77,3,0,53,Salaried,Salary,East,Very Low Risk
40,57088,256436,7,687,0.32,4,2,18,Salaried,Salary,South,High Risk
58,74202,146412,1,704,0.61,3,3,7,Salaried,Salary,West,Very High Risk
50,144588,73420,19,694,0.42,1,3,35,Business owner,Salary,North,Very Low Risk
29,68354,899244,16,584,0.88,0,4,49,Salaried,Current,North,Very Low Risk
64,118952,825250,15,478,0.1,4,1,24,Business owner,Salary,North,High Risk
45,43740,389248,18,602,0.78,4,2,34,Business owner,Current,South,Very High Risk
48,34071,248165,0,783,0.73,4,3,29,Business owner,Salary,North,Very High Risk
68,91982,24312,20,821,0.48,3,1,25,Self-employed,Current,East,Moderate Risk
53,80933,12435,6,672,0.15,0,2,37,Business owner,Salary,East,Moderate Risk
51,115364,662777,13,706,0.79,1,3,52,Business owner,Savings,West,Very Low Risk
50,27395,179322,9,498,0.24,1,4,15,Business owner,Current,South,Very High Risk
65,125411,122919,19,498,0.75,4,4,31,Business owner,Current,South,Very High Risk
62,73515,141659,0,581,0.75,1,1,7,Business owner,Salary,West,Very High Risk
65,143184,721824,11,639,0.58,0,1,5,Salaried,Salary,South,Very Low Risk
64,113016,473613,18,557,0.5,2,4,8,Business owner,Current,West,High Risk
30,75731,578611,10,670,0.3,0,2,26,Business owner,Savings,South,Very Low Risk
34,121460,160360,17,746,0.25,2,4,17,Business owner,Salary,East,Low Risk
59,124157,198143,5,542,0.78,3,2,38,Business owner,Current,South,Very High Risk
57,151433,58009,7,492,0.39,4,0,34,Self-employed,Current,North,High Risk
28,99401,293258,4,616,0.82,2,1,49,Business owner,Salary,South,High Risk
62,44035,544058,0,818,0.21,0,2,10,Business owner,Savings,West,Low Risk
50,114814,144197,0,551,0.32,0,3,35,Self-employed,Current,West,Very High Risk
32,117763,732384,19,781,0.07,4,0,21,Salaried,Savings,West,Very Low Risk
47,34351,180645,14,836,0.92,3,1,7,Self-employed,Salary,North,Moderate Risk
29,43976,204547,11,552,0.36,3,3,47,Business owner,Current,South,Very High Risk
53,109256,727588,15,497,0.55,1,2,47,Self-employed,Salary,West,Low Risk
30,101800,725900,13,490,0.09,3,3,23,Self-employed,Salary,West,High Risk
49,79224,445672,2,535,0.59,4,3,53,Salaried,Salary,West,Very High Risk
27,102882,280434,1,592,0.33,0,4,23,Salaried,Current,South,High Risk
61,54351,651051,9,699,0.68,4,4,49,Salaried,Current,South,Very High Risk
65,24201,422304,18,787,0.29,2,3,16,Salaried,Current,North,Low Risk
53,26591,632891,20,793,0.54,0,3,42,Business owner,Salary,East,Very Low Risk
38,57841,60526,16,746,0.59,4,1,21,Business owner,Current,South,High Risk
30,65231,123866,9,773,0.32,4,2,46,Salaried,Savings,South,High Risk
55,130003,378701,3,625,0.84,0,3,13,Self-employed,Current,North,Moderate Risk
60,147924,983101,8,743,0.26,1,1,45,Self-employed,Current,South,Very Low Risk
67,132274,777681,8,544,0.59,4,4,14,Self-employed,Current,East,High Risk
33,26464,522452,17,610,0.17,3,3,3,Business owner,Savings,South,High Risk
65,38639,171680,8,669,0.13,3,2,9,Business owner,Savings,South,Very High Risk
35,133808,261162,1,496,0.78,2,2,21,Business owner,Salary,East,Very High Risk
30,25379,195713,10,551,0.15,1,0,25,Business owner,Savings,West,High Risk
48,91035,691347,18,569,0.65,3,4,42,Salaried,Current,West,High Risk
68,38724,724411,18,628,0.84,2,4,29,Self-employed,Savings,East,Moderate Risk
68,45182,942260,20,518,0.58,1,2,11,Business owner,Current,East,Moderate Risk
49,141266,372486,18,486,0.43,1,1,49,Business owner,Salary,West,High Risk
67,104275,668789,4,837,0.25,1,0,46,Self-employed,Current,East,Very Low Risk
63,41798,762901,15,661,0.54,1,2,29,Self-employed,Salary,North,Moderate Risk
54,95081,480282,18,633,0.84,2,0,52,Business owner,Savings,South,Low Risk
39,62249,474561,15,583,0.64,4,1,14,Business owner,Salary,East,Very High Risk
62,135891,976154,10,563,0.62,2,0,3,Salaried,Current,North,Low Risk
37,88108,753173,2,532,0.39,3,0,44,Business owner,Current,South,Very High Risk
25,71577,971150,5,580,0.59,2,3,43,Salaried,Savings,North,Moderate Risk
37,126309,854587,18,581,0.31,2,0,30,Self-employed,Salary,East,Low Risk
54,52593,520741,18,516,0.81,3,2,9,Business owner,Salary,West,Very High Risk
41,144245,168494,2,673,0.68,4,1,52,Salaried,Salary,East,High Risk
68,93647,762368,19,581,0.06,2,3,30,Self-employed,Salary,West,Very Low Risk
41,83016,495929,15,543,0.67,0,0,9,Self-employed,Savings,East,Moderate Risk
38,128363,948865,4,642,0.58,3,4,28,Business owner,Salary,North,Low Risk
41,42061,901070,5,586,0.28,3,4,30,Business owner,Current,East,Very High Risk
31,41044,937625,12,715,0.57,1,3,41,Business owner,Savings,South,Moderate Risk
42,92718,790014,11,656,0.67,2,1,11,Self-employed,Salary,East,Moderate Risk
54,135332,730543,11,739,0.44,1,4,51,Business owner,Savings,North,Very Low Risk
38,76403,4310,8,661,0.71,3,4,22,Salaried,Salary,North,Very High Risk
67,26996,101036,10,578,0.14,0,0,3,Business owner,Savings,East,High Risk
39,45274,985552,0,535,0.53,4,3,45,Self-employed,Current,North,Very High Risk
65,47082,809423,19,624,0.65,2,3,53,Salaried,Current,North,Low Risk
41,64679,673844,6,816,0.76,1,4,4,Business owner,Current,West,Low Risk
46,52633,273704,17,844,0.16,0,3,3,Business owner,Current,North,Very Low Risk
33,109017,416420,12,652,0.7,4,3,39,Self-employed,Savings,West,High Risk
59,135739,145808,10,541,0.48,4,4,29,Salaried,Current,South,Very High Risk
51,47551,933999,0,757,0.81,3,0,4,Salaried,Savings,West,Moderate Risk
60,27138,571827,10,692,0.45,1,2,44,Salaried,Salary,West,Moderate Risk
47,119261,491691,8,522,0.77,1,2,14,Business owner,Savings,North,High Risk
28,155310,745916,3,818,0.13,0,0,5,Self-employed,Salary,North,Very Low Risk
24,91726,97943,5,561,0.71,4,0,33,Salaried,Salary,East,Very High Risk
46,137760,32575,16,747,0.22,0,3,15,Self-employed,Current,South,Very Low Risk
55,45808,297598,15,822,0.57,3,3,6,Salaried,Savings,North,High Risk
60,141174,137631,5,535,0.11,3,1,12,Self-employed,Current,West,Very High Risk
42,36310,766026,13,565,0.88,2,0,45,Self-employed,Current,West,High Risk
41,92112,970081,20,616,0.43,0,2,23,Salaried,Current,North,Very Low Risk
57,90987,383120,7,470,0.35,3,4,6,Self-employed,Current,South,Very High Risk
31,36401,316421,4,705,0.74,0,1,3,Self-employed,Salary,West,High Risk
54,83951,857009,19,483,0.57,2,1,8,Self-employed,Current,North,Moderate Risk
57,62946,1897,11,646,0.61,1,4,47,Salaried,Savings,South,High Risk
46,118430,914009,5,680,0.29,1,2,48,Self-employed,Current,East,Very Low Risk
26,92730,967880,3,633,0.62,1,2,54,Salaried,Savings,South,Moderate Risk
65,149290,173575,9,606,0.37,2,0,49,Self-employed,Current,South,Moderate Risk
31,37516,197394,3,832,0.47,2,0,44,Self-employed,Savings,East,High Risk
61,52396,163098,14,846,0.14,4,1,35,Business owner,Savings,North,Low Risk
40,149903,165591,11,586,0.1,2,2,29,Self-employed,Salary,East,Moderate Risk
33,155613,76356,6,595,0.78,2,0,47,Self-employed,Savings,South,Moderate Risk
52,58677,569597,2,755,0.62,2,1,35,Salaried,Savings,South,High Risk
53,64900,192347,0,580,0.13,0,1,23,Self-employed,Savings,West,Very High Risk
35,141218,113632,16,647,0.71,1,2,29,Business owner,Savings,West,Low Risk
27,117555,797203,5,767,0.05,3,2,42,Salaried,Savings,South,Very Low Risk
32,33452,540287,13,520,0.68,4,3,32,Business owner,Savings,East,Very High Risk
60,126997,197224,20,607,0.71,1,4,23,Self-employed,Savings,East,Moderate Risk
23,37808,360181,20,828,0.16,1,1,23,Salaried,Savings,East,Very Low Risk
65,153062,716336,19,599,0.56,3,0,34,Salaried,Current,South,Low Risk
53,83621,489165,7,487,0.4,0,2,49,Business owner,Current,East,Moderate Risk
28,147207,779464,0,687,0.12,1,1,41,Salaried,Salary,West,Very Low Risk
67,23171,178033,4,589,0.66,3,0,46,Self-employed,Current,East,Very High Risk
57,47505,516931,0,827,0.15,3,3,23,Self-employed,Salary,West,Moderate Risk
57,24934,978878,1,783,0.72,2,3,19,Self-employed,Current,North,Moderate Risk
61,143819,87343,10,500,0.73,0,0,45,Salaried,Savings,South,Moderate Risk
33,43026,543970,3,787,0.76,4,2,22,Salaried,Salary,West,High Risk
60,141845,871727,14,793,0.84,3,1,27,Self-employed,Salary,East,Low Risk
37,138456,269830,1,765,0.78,1,0,28,Self-employed,Salary,West,Low Risk
54,74939,173499,13,817,0.8,1,3,10,Self-employed,Current,South,Low Risk
68,77002,592002,20,772,0.74,1,0,46,Salaried,Salary,East,Very Low Risk
23,60661,158559,11,829,0.33,0,4,39,Business owner,Salary,East,Very Low Risk
56,125919,74516,19,608,0.77,4,4,40,Salaried,Savings,North,High Risk
57,52571,559765,14,844,0.07,2,4,26,Business owner,Current,North,Very Low Risk
45,40436,327511,11,768,0.41,0,4,10,Salaried,Current,East,Low Risk
28,33415,650527,13,730,0.49,3,4,34,Business owner,Savings,North,Moderate Risk
31,67393,529627,19,839,0.73,3,2,30,Salaried,Current,South,Very Low Risk
64,147247,908660,18,559,0.77,3,4,12,Business owner,Salary,West,Moderate Risk
50,110407,922723,4,709,0.61,3,0,20,Business owner,Savings,North,Low Risk
29,114208,759105,14,530,0.91,2,4,28,Business owner,Current,North,High Risk
64,46711,54783,18,696,0.4,4,3,52,Salaried,Savings,North,Very High Risk
41,58447,578529,5,699,0.15,1,4,32,Business owner,Salary,South,Moderate Risk
46,83773,951162,0,839,0.09,3,1,29,Business owner,Savings,North,Low Risk
44,44646,670526,2,696,0.59,2,1,40,Salaried,Savings,South,Moderate Risk
29,136531,946341,2,729,0.18,1,2,29,Self-employed,Savings,South,Very Low Risk
36,59131,89182,17,582,0.57,0,4,33,Business owner,Savings,West,Moderate Risk
68,24532,197338,19,815,0.8,0,4,37,Salaried,Savings,East,Low Risk
60,69346,710950,5,664,0.31,3,2,28,Self-employed,Savings,North,Low Risk
56,87579,104137,18,700,0.72,4,4,52,Business owner,Savings,West,High Risk
39,22458,85587,9,538,0.07,4,1,49,Self-employed,Salary,West,Very High Risk
51,77752,457875,8,644,0.87,2,3,34,Salaried,Current,North,High Risk
42,93460,334610,20,737,0.5,1,0,45,Business owner,Savings,North,Very Low Risk
64,46168,921247,9,750,0.59,1,4,13,Business owner,Salary,North,Low Risk
21,117373,51101,3,498,0.45,3,1,26,Self-employed,Salary,North,Very High Risk
45,134657,681347,3,842,0.33,0,3,32,Business owner,Salary,East,Very Low Risk
33,37378,799734,18,738,0.44,1,1,30,Self-employed,Salary,West,Low Risk
46,107161,823905,8,488,0.05,3,4,6,Self-employed,Current,North,Moderate Risk
54,44177,577763,7,474,0.25,0,3,17,Self-employed,Salary,East,Very High Risk
28,126928,516552,14,664,0.4,1,2,51,Self-employed,Salary,West,Low Risk
42,41316,964811,2,496,0.36,4,0,5,Business owner,Current,South,Very High Risk
68,30690,787879,20,473,0.17,2,4,49,Business owner,Current,South,Very High Risk
26,117652,447663,12,556,0.44,0,4,24,Self-employed,Current,North,Moderate Risk
66,97584,792505,13,849,0.4,4,1,42,Business owner,Current,West,Very Low Risk
43,45013,159471,20,777,0.23,3,1,14,Salaried,Salary,West,Moderate Risk
24,154196,595077,10,722,0.41,4,3,46,Business owner,Salary,West,Low Risk
47,118300,692194,19,711,0.44,0,4,17,Self-employed,Savings,North,Very Low Risk
27,69800,610099,14,479,0.49,4,4,6,Business owner,Savings,East,Very High Risk
22,73565,197910,11,615,0.83,1,1,13,Self-employed,Current,South,Very High Risk
23,103618,106376,3,526,0.1,1,0,6,Salaried,Salary,West,Very High Risk
58,122194,32793,8,637,0.72,4,0,49,Business owner,Current,North,High Risk
23,122518,316397,3,510,0.09,1,3,38,Business owner,Savings,West,High Risk
61,23743,858817,16,542,0.07,1,4,3,Salaried,Current,South,Moderate Risk
61,152367,978314,2,794,0.79,4,0,30,Self-employed,Savings,South,Very Low Risk
45,117962,955629,14,527,0.91,2,2,37,Salaried,Savings,West,Moderate Risk
33,114065,76857,10,816,0.46,4,2,44,Self-employed,Salary,North,Low Risk
39,142648,163478,13,528,0.72,4,0,42,Business owner,Salary,North,High Risk
23,71445,413388,0,728,0.43,1,3,44,Business owner,Current,South,Moderate Risk
29,88211,957830,14,763,0.6,1,3,7,Business owner,Savings,East,Very Low Risk
65,26072,119938,5,717,0.26,3,0,32,Salaried,Salary,West,Very High Risk
48,108178,968460,7,651,0.16,1,3,28,Salaried,Savings,North,Very Low Risk
32,146433,417936,17,686,0.53,0,2,34,Self-employed,Current,East,Very Low Risk
41,124543,471125,15,506,0.23,0,2,43,Business owner,Salary,South,Moderate Risk
66,119099,563451,18,494,0.64,3,4,33,Self-employed,Savings,South,Very High Risk
41,70756,956598,14,836,0.66,0,3,54,Business owner,Salary,East,Very Low Risk
54,59901,687821,18,740,0.36,1,3,13,Self-employed,Current,West,Very Low Risk
59,27865,676888,0,683,0.39,0,1,25,Business owner,Current,East,Moderate Risk
23,53818,213704,20,627,0.91,2,4,39,Self-employed,Savings,South,Very High Risk
59,132016,63426,14,665,0.77,3,3,23,Business owner,Salary,West,High Risk
42,74879,178057,13,549,0.09,1,0,8,Self-employed,Savings,West,High Risk
38,56255,23525,0,616,0.21,3,1,43,Business owner,Current,North,Very High Risk
26,137145,249143,5,576,0.71,0,0,32,Self-employed,Current,North,High Risk
32,155168,718406,6,483,0.6,4,4,40,Self-employed,Savings,East,Very High Risk
28,136056,63175,1,557,0.21,3,4,49,Salaried,Current,East,Very High Risk
60,134807,184229,17,565,0.83,3,3,46,Business owner,Current,South,High Risk
25,41643,926876,5,531,0.82,0,4,16,Business owner,Current,East,High Risk
35,138914,119564,0,525,0.44,2,4,16,Salaried,Salary,South,Very High Risk
61,26290,101124,12,549,0.09,3,3,23,Self-employed,Savings,North,Very High Risk
61,157167,578297,18,526,0.59,2,2,53,Business owner,Salary,West,Moderate Risk
37,66566,55953,10,850,0.82,0,1,45,Business owner,Current,North,Very Low Risk
65,44855,886380,1,540,0.75,1,1,42,Self-employed,Savings,West,High Risk
43,117123,784655,19,651,0.17,2,1,11,Self-employed,Savings,North,Very Low Risk
62,67227,587295,1,542,0.5,4,2,38,Salaried,Salary,South,Very High Risk
35,38747,743586,20,772,0.07,3,2,11,Business owner,Salary,South,Very Low Risk
66,101311,841308,17,542,0.51,3,4,4,Salaried,Savings,West,High Risk
38,37785,99817,9,472,0.88,2,1,7,Salaried,Current,South,Very High Risk
39,157660,748856,16,786,0.71,0,4,16,Business owner,Current,West,Very Low Risk
67,77516,704005,7,786,0.47,1,0,46,Salaried,Savings,South,Very Low Risk
54,92078,564727,18,760,0.41,2,0,23,Salaried,Savings,East,Very Low Risk
30,89137,445641,11,746,0.85,1,1,53,Business owner,Current,North,Low Risk
45,45731,803430,0,811,0.24,2,0,8,Self-employed,Current,East,Low Risk
48,158958,470900,10,552,0.62,3,0,8,Business owner,Current,South,Low Risk
38,106858,468929,9,507,0.76,3,1,24,Salaried,Savings,North,Very High Risk
53,50700,85051,19,735,0.58,2,4,28,Business owner,Savings,East,Very High Risk
66,148161,37512,4,496,0.25,2,0,5,Business owner,Savings,West,Very High Risk
66,37639,389399,10,759,0.82,3,0,18,Self-employed,Savings,West,High Risk
60,52625,165515,19,693,0.89,3,0,3,Self-employed,Savings,North,High Risk
43,141749,727927,12,647,0.27,1,1,5,Business owner,Current,East,Very Low Risk
50,102418,209297,1,506,0.81,2,4,8,Business owner,Savings,West,Very High Risk
42,99140,447562,12,689,0.6,0,1,11,Business owner,Current,East,Very Low Risk
61,51642,416057,13,490,0.16,1,0,34,Salaried,Salary,West,High Risk
32,101597,972779,13,641,0.34,0,1,5,Business owner,Current,West,Very Low Risk
24,110203,135181,15,627,0.82,4,2,14,Self-employed,Savings,West,Very High Risk
58,108501,113333,2,780,0.6,3,1,36,Business owner,Savings,North,High Risk
31,68870,610528,19,820,0.17,1,4,30,Self-employed,Savings,North,Very Low Risk
27,51442,565708,17,505,0.25,3,4,16,Business owner,Salary,North,Very High Risk
32,114521,89623,1,737,0.89,2,4,48,Self-employed,Salary,East,High Risk
22,151655,32730,17,841,0.79,1,0,15,Self-employed,Salary,North,Very Low Risk
23,65806,721480,20,572,0.37,1,0,10,Salaried,Salary,North,Low Risk
24,98247,193102,3,730,0.2,0,0,23,Salaried,Current,West,Low Risk
46,128373,808701,6,604,0.8,2,0,21,Self-employed,Savings,South,Moderate Risk
55,61936,549918,15,603,0.23,2,2,5,Business owner,Current,North,Moderate Risk
30,63686,355627,2,509,0.64,1,3,26,Salaried,Salary,West,Very High Risk
56,70116,696022,16,547,0.06,0,1,45,Self-employed,Salary,South,Low Risk
38,92432,490935,17,773,0.07,0,3,26,Self-employed,Current,West,Very Low Risk
59,153132,339404,15,741,0.41,0,1,52,Salaried,Current,North,Very Low Risk
21,121487,786317,20,685,0.49,0,1,13,Self-employed,Savings,South,Very Low Risk
55,129887,402927,14,508,0.18,1,2,13,Self-employed,Current,West,Moderate Risk
67,69922,762143,4,588,0.08,4,3,27,Salaried,Savings,East,High Risk
